GAME_NAME,PLATFORM,PUBLISHER
Guitar Hero,PS2,RedOctane
WCW/nWo Revenge,N64,THQ
The Legend of Zelda: Majoras Mask 3D,3DS,Nintendo
Far Cry: Primal,PS4,Ubisoft
Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami Digital Entertainment
Dead Island,X360,Deep Silver
Half-Life 2,PC,Vivendi Games
The Incredibles,PS2,THQ
Zumba Fitness,X360,505 Games
Madden NFL 08,X360,Electronic Arts
Tony Hawks Underground 2,PS2,Activision
NBA 2K16,XOne,Take-Two Interactive
Madden NFL 10,PS3,Electronic Arts
Kirbys Dream Land 2,G,Nintendo
Midnight Club: Los Angeles,X360,Take-Two Interactive
Donkey Kong Land II,G,Nintendo
Dragon Warrior Monsters,G,Eidos Interactive
Kinect: Disneyland Adventures,X360,Microsoft Game Studios
Guild Wars 2,PC,NCSoft
WWE SmackDown vs Raw 2008,PS2,THQ
LEGO Indiana Jones: The Original Adventures,Wii,LucasArts
Resident Evil - Code: Veronica X,PS2,Capcom
Kinect Sports: Season Two,X360,Microsoft Game Studios
Paper Mario: Sticker Star,3DS,Nintendo
Madden NFL 17,PS4,Electronic Arts
My Fitness Coach,Wii,Ubisoft
Mario Tennis,N64,Nintendo
Grand Theft Auto,PS,Take-Two Interactive
James Bond 007: Everything or Nothing,PS2,Electronic Arts
Need For Speed: High Stakes,PS,Electronic Arts
Chrono Trigger,SNES,SquareSoft
Cool Boarders 3,PS,989 Studios
Tom Clancys The Division,XOne,Ubisoft
Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment
WarioWare Touched!,DS,Nintendo
Yokai Watch Busters,3DS,Level 5
LEGO Star Wars: The Complete Saga,PS3,LucasArts
Tomb Raider II,PC,Eidos Interactive
Need for Speed Underground 2,X,Electronic Arts
LEGO Harry Potter: Years 1-4,DS,Warner Bros. Interactive Entertainment
Pro Evolution Soccer 2010,PS3,Konami Digital Entertainment
Tom Clancys Rainbow Six: Siege,PS4,Ubisoft
The Sims 3,X360,Electronic Arts
Mario Bros.,NES,Nintendo
FIFA Soccer 09,PS2,Electronic Arts
Pokemon Ranger: Shadows of Almia,DS,Nintendo
TOCA Touring Car Championship,PS,Codemasters
Sonics Ultimate Genesis Collection,PS3,Sega
Dead Island,PS3,Deep Silver
Kirby: Nightmare in Dream Land,GBA,Nintendo
Wario Land 4,GBA,Nintendo
Madden NFL 25,X360,Electronic Arts
Yokai Watch,3DS,Nintendo
Gears of War 4,XOne,Microsoft Game Studios
Forza Motorsport 5,XOne,Microsoft Game Studios
Onimusha 2: Samurais Destiny,PS2,Capcom
Madden NFL 12,PS3,Electronic Arts
Cool Boarders 2,PS,UEP Systems
Paper Mario: The Thousand-Year Door,GC,Nintendo
LEGO Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment
God of War: Ascension,PS3,Sony Computer Entertainment
Guitar Hero III: Legends of Rock,PS3,Activision
Sonic Advance,GBA,Sega
Assassins Creed IV: Black Flag,XOne,Ubisoft
Super Monkey Ball: Banana Blitz,Wii,Sega
Just Dance Kids,Wii,Ubisoft
Call of Duty 3,Wii,Activision
New Super Luigi U,WiiU,Nintendo
Dissidia: Final Fantasy,PSP,Square Enix
Spyro: Season of Ice,GBA,Vivendi Games
Borderlands 2,PS3,Take-Two Interactive
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Konami Digital Entertainment
Dance Dance Revolution X2,PS2,Konami Digital Entertainment
Prince of Persia: The Sands of Time,PS2,Ubisoft
Monster Hunter Tri,Wii,Nintendo
The Legend of Zelda: Links Awakening DX,G,Nintendo
Resident Evil 4,Wii,Capcom
Star Wars: The Force Unleashed,PS3,LucasArts
Devil May Cry 3: Dantes Awakening Special Edition,PS2,Capcom
Guitar Hero II,X360,Activision
Frogger,2600,Parker Bros.
Rock Band 2,X360,Electronic Arts
Need for Speed: Hot Pursuit,X360,Electronic Arts
Pro Yakyuu Family Stadium,NES,Namco Bandai Games
Wario Land 3,G,Nintendo
LEGO Indiana Jones: The Original Adventures,DS,Activision
Madden NFL 15,PS4,Electronic Arts
BioShock 2,X360,Take-Two Interactive
High School Musical: Makin the Cut!,DS,Disney Interactive Studios
Star Wars: Knights of the Old Republic,X,Activision
Donkey Kong Country,G,Nintendo
Kirbys Pinball Land,G,Nintendo
Pro Evolution Soccer 2012,PS3,Konami Digital Entertainment
Saints Row,X360,THQ
FIFA 15,XOne,Electronic Arts
Yu-Gi-Oh: Duel Monsters 4,G,Konami Digital Entertainment
ATV Offroad Fury 2,PS2,THQ
Mario & Luigi: Superstar Saga,GBA,Nintendo
DriveClu,PS4,Sony Computer Entertainment
Star Wars: Rogue Squadron,N64,Nintendo
Tennis,NES,Nintendo
Final Fantasy XIII,X360,Square Enix
Skylanders SWAP Force,Wii,Activision
Scribblenauts,DS,Warner Bros. Interactive Entertainment
The Sims: House Party,PC,Electronic Arts
Sonic Unleashed,Wii,Sega
Syphon Filter 2,PS,Sony Computer Entertainment
Pokemon Ranger,DS,Nintendo
Volleyball,NES,Nintendo
Hitman: Absolution,PS3,Square Enix
Dying Light,PS4,Warner Bros. Interactive Entertainment
R.C. Pro-Am,NES,Nintendo
Mahjong,NES,Nintendo
Super Mario RPG: Legend of the Seven Stars,SNES,Nintendo
SimCity 2000,PC,Maxis
Demon Attack,2600,Imagic
Call of Duty: Roads to Victory,PSP,Activision
Your Shape featuring Jenny McCarthy,Wii,Ubisoft
Dance Dance Revolution Extreme,PS2,Konami Digital Entertainment
Final Fantasy Tactics Advance,GBA,SquareSoft
Project Gotham Racing,X,Microsoft Game Studios
Golf,G,Nintendo
NBA 2K12,PS3,Take-Two Interactive
Minecraft,PSV,Sony Computer Entertainment Europe
NBA 2K14,PS3,Take-Two Interactive
Battlefield: Hardline,PS4,Electronic Arts
Tony Hawks Pro Skater,N64,Activision
Need for Speed: Hot Pursuit 2,PS2,Electronic Arts
PES 2009: Pro Evolution Soccer,PS3,Konami Digital Entertainment
Dynasty Warriors 4,PS2,Tecmo Koei
Mortal Kombat,X360,Warner Bros. Interactive Entertainment
Mario & Luigi: Dream Team,3DS,Nintendo
Parasite Eve,PS,SquareSoft
Tetris DS,DS,Nintendo
NBA 2K11,X360,Take-Two Interactive
Borderlands,PS3,Take-Two Interactive
World Soccer Winning Eleven 8 International,PS2,Konami Digital Entertainment
Sports Champions,PS3,Sony Computer Entertainment
Namco Museum Vol.1,PS,Sony Computer Entertainment
Call of Duty: Ghosts,PS4,Activision
The Legend of Zelda: Links Awakening,G,Nintendo
Flash Focus: Vision Training in Minutes a Day,DS,Nintendo
Big Brain Academy: Wii Degree,Wii,Nintendo
Resident Evil Directors Cut,PS,Virgin Interactive
Mario & Luigi: Bowsers Inside Story,DS,Nintendo
LEGO Indiana Jones: The Original Adventures,X360,Activision
The Sims: Unleashed,PC,Electronic Arts
Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment
Harry Potter and the Sorcerers Stone,PS,Electronic Arts
Assassins Creed IV: Black Flag,PS3,Ubisoft
Mario & Sonic at the London 2012 Olympic Games,Wii,Sega
Resident Evil 3: Nemesis,PS,Eidos Interactive
Super Paper Mario,Wii,Nintendo
Spyro: Year of the Dragon,PS,Sony Computer Entertainment
FIFA Soccer 2005,PS2,Electronic Arts
Pok\xc3\xa9mon Trading Card Game,G,Nintendo
Friend Collection,DS,Nintendo
Tony Hawks Pro Skater 4,PS2,Activision
MySims,DS,Electronic Arts
Midnight Club 3: DUB Edition,PSP,Take-Two Interactive
Banjo-Kazooie,N64,Nintendo
SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment
Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment
Pokemon Snap,N64,Nintendo
Pro Evolution Soccer 2008,PS2,Konami Digital Entertainment
Resident Evil 4,PS2,Capcom
FIFA Soccer 10,PS3,Electronic Arts
Guitar Hero: World Tour,Wii,Activision
Battlefield 4,PS4,Electronic Arts
Star Wars: Battlefront,PS2,LucasArts
Doom II: Hell on Earth,PC,Virgin Interactive
The Simpsons: Road Rage,PS2,Electronic Arts
Luigis Mansion,GC,Nintendo
Just Dance 2014,Wii,Ubisoft
Star Wars: Battlefront II,PS2,LucasArts
Cooking Mama 2: Dinner With Friends,DS,505 Games
WWF SmackDown!,PS,THQ
Croc: Legend of the Gobbos,PS,Fox Interactive
Call of Duty: Infinite Warfare,XOne,Activision
Assassins Creed: Unity,XOne,Ubisoft
Grand Theft Auto: Liberty City Stories,PS2,Take-Two Interactive
The Getaway,PS2,Sony Computer Entertainment
Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive
James Bond 007: Agent Under Fire,PS2,Electronic Arts
LEGO Star Wars: The Video Game,PS2,Eidos Interactive
Rugrats in Paris: The Movie,PS,THQ
FIFA Soccer 11,X360,Electronic Arts
Spyro 2: Riptos Rage!,PS,Sony Computer Entertainment
Left 4 Dead,X360,Electronic Arts
Donkey Kong Country 3: Dixie Kongs Double Trouble!,SNES,Nintendo
Resident Evil 5,X360,Capcom
Kung Fu,NES,Nintendo
Assassins Creed: Brotherhood,X360,Ubisoft
Battlefield 4,PS3,Electronic Arts
FIFA Soccer 2004,PS2,Electronic Arts
Battlefield 4,X360,Electronic Arts
Batman: Arkham Asylum,X360,Eidos Interactive
Battlefield: Bad Company 2,X360,Electronic Arts
Gears of War: Ultimate Edition,XOne,Microsoft Game Studios
Mario & Sonic at the Olympic Winter Games,DS,Sega
Guitar Hero: On Tour,DS,Activision
Clubhouse Games,DS,Nintendo
Borderlands,X360,Take-Two Interactive
Monster Hunter 4,3DS,Capcom
Assassins Creed Syndicate,PS4,Ubisoft
Tekken 4,PS2,Namco Bandai Games
Battlefield 1,XOne,Electronic Arts
Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment
Final Fantasy III,SNES,SquareSoft
Grand Theft Auto 2,PS,Take-Two Interactive
Spider-Man 2,PS2,Activision
F-1 Race,G,Nintendo
LittleBigPlanet 2,PS3,Sony Computer Entertainment
LEGO Batman: The Videogame,X360,Warner Bros. Interactive Entertainment
FIFA Soccer 2003,PS2,Electronic Arts
Crash Bash,PS,Sony Computer Entertainment
Destiny,XOne,Activision
Monster Hunter X,3DS,Capcom
Final Fantasy XV,PS4,Square Enix
WWF War Zone,PS,Acclaim Entertainment
The Legend of Zelda: Majoras Mask,N64,Nintendo
Far Cry 3,PS3,Ubisoft
Rugrats: Search For Reptar,PS,THQ
Yokai Watch 2 Ganso/Honke,3DS,Nintendo
English Training: Have Fun Improving Your Skills!,DS,Nintendo
James Bond 007: Nightfire,PS2,Electronic Arts
Ratchet & Clank,PS2,Sony Computer Entertainment
Star Wars Episode III: Revenge of the Sith,PS2,LucasArts
The Legend of Zelda: Spirit Tracks,DS,Nintendo
Max Payne,PS2,Take-Two Interactive
Halo: The Master Chief Collection,XOne,Microsoft Game Studios
Assassins Creed IV: Black Flag,X360,Ubisoft
Minecraft,XOne,Microsoft Game Studios
The Lord of the Rings: The Return of the King,PS2,Electronic Arts
Super Mario Maker,WiiU,Nintendo
Gran Turismo 6,PS3,Sony Computer Entertainment
True Crime: Streets of LA,PS2,Activision
Professor Layton and the Unwound Future,DS,Nintendo
FIFA 16,XOne,Electronic Arts
Gran Turismo (PSP),PSP,Sony Computer Entertainment
Madden NFL 16,PS4,Electronic Arts
Wii Music,Wii,Nintendo
Tekken,PS,Sony Computer Entertainment
FIFA 17,XOne,Electronic Arts
The Sims 4,PC,Electronic Arts
007: Tomorrow Never Dies,PS,Electronic Arts
Baseball,NES,Nintendo
WWF SmackDown! 2: Know Your Role,PS,THQ
Killer Instinct,SNES,Nintendo
Dragon Quest VI: Maboroshi no Daichi,SNES,Enix Corporation
God of War: Chains of Olympus,PSP,Sony Computer Entertainment
L.A. Noire,PS3,Take-Two Interactive
Enter the Matrix,PS2,Atari
Crisis Core: Final Fantasy VII,PSP,Square Enix
Dance Central,X360,MTV Games
Ace Combat 04: Shattered Skies,PS2,Sony Computer Entertainment Europe
Animal Crossing: Happy Home Designer,3DS,Nintendo
Animal Crossing,GC,Nintendo
FIFA Soccer 08,PS2,Electronic Arts
Mario Party 9,Wii,Nintendo
Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios
Spider-Man,PS,Activision
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo
Need for Speed III: Hot Pursuit,PS,Electronic Arts
Star Wars Episode I Racer,N64,Nintendo
Sonic Rush,DS,Sega
Fallout: New Vegas,PS3,Bethesda Softworks
Dragon Warrior IV,NES,Enix Corporation
Personal Trainer: Cooking,DS,Nintendo
Rhythm Heaven,DS,Nintendo
The Elder Scrolls IV: Oblivion,PS3,Ubisoft
Resident Evil 6,PS3,Capcom
Mass Effect 2,X360,Electronic Arts
Dragon Ball Z: Budokai,PS2,Atari
Madden NFL 2002,PS2,Electronic Arts
World Class Track Meet,NES,Namco Bandai Games
Donkey Kong,G,Nintendo
The Sims: Vacation,PC,Electronic Arts
LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment
LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment
Borderlands 2,X360,Take-Two Interactive
Kung Fu Panda,X360,Activision
Mass Effect 3,X360,Electronic Arts
Saints Row 2,X360,THQ
Heavy Rain,PS3,Sony Computer Entertainment
Rayman,PS,Ubisoft
Tom Clancys Splinter Cell,X,Ubisoft
FIFA 14,PS4,Electronic Arts
Mike Tysons Punch-Out!!,NES,Nintendo
WWE SmackDown! Shut Your Mouth,PS2,THQ
NBA 2K13,X360,Take-Two Interactive
Killzone 2,PS3,Sony Computer Entertainment
Far Cry 3,X360,Ubisoft
Epic Mickey,Wii,Disney Interactive Studios
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Atari
wwe Smackdown vs. Raw 2006,PS2,THQ
Star Fox,SNES,Nintendo
The Sims: Livin Large,PC,Electronic Arts
World Soccer Winning Eleven 6 International,PS2,Konami Digital Entertainment
Devil May Cry,PS2,Capcom
Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment
Star Wars: The Old Republic,PC,Electronic Arts
Titanfall,XOne,Electronic Arts
Sonic Heroes,PS2,Sega
Hitman 2: Silent Assassin,PS2,Eidos Interactive
Battlefield: Bad Company 2,PS3,Electronic Arts
Wave Race 64,N64,Nintendo
SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment
WWE SmackDown! vs. RAW 2006,PS2,THQ
Street Fighter IV,X360,Capcom
Pac-Man Collection,GBA,Atari
inFAMOUS,PS3,Sony Computer Entertainment
Call of Duty: Ghosts,XOne,Activision
FIFA 15,X360,Electronic Arts
Kirby Super Star Ultra,DS,Nintendo
Super Mario World 2: Yoshis Island,GBA,Nintendo
Mass Effect,X360,Microsoft Game Studios
Sonic Mega Collection Plus,PS2,Sega
World Soccer Winning Eleven 7 International,PS2,Konami Digital Entertainment
Sega Superstars Tennis,X360,Sega
Hot Shots Golf 3,PS2,Sony Computer Entertainment
Cooking Mama: Cook Off,Wii,505 Games
WarioWare: Smooth Moves,Wii,Nintendo
Call of Duty: Finest Hour,PS2,Activision
Syphon Filter,PS,Sony Computer Entertainment
Imagine: Babyz,DS,Ubisoft
Colin McRae Rally,PS,Codemasters
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment
Madden NFL 13,X360,Electronic Arts
The Elder Scrolls III: Morrowind,X,Ubisoft
Assassins Creed IV: Black Flag,PS4,Ubisoft
Yoshis Story,N64,Nintendo
F-Zero,SNES,Nintendo
Command & Conquer: Red Alert,PC,Virgin Interactive
Mortal Kombat,PS3,Warner Bros. Interactive Entertainment
Madden NFL 10,X360,Electronic Arts
WWE SmackDown! vs. Raw,PS2,THQ
BioShock,X360,Take-Two Interactive
Metroid Prime,GC,Nintendo
Assassins Creed: Brotherhood,PS3,Ubisoft
Finding Nemo,GBA,THQ
Zumba Fitness 2,Wii,Majesco Entertainment
Myst,PC,Red Or
Medal of Honor,PS3,Electronic Arts
Need for Speed: Most Wanted,PS3,Electronic Arts
Imagine: Fashion Designer,DS,Ubisoft
inFAMOUS: Second Son,PS4,Sony Computer Entertainment
WWE SmackDown! Here Comes the Pain,PS2,THQ
Hot Shots Golf,PS,Sony Computer Entertainment
A Bugs Life,PS,Sony Computer Entertainment
WWF SmackDown! Just Bring It,PS2,THQ
Dragon Quest V: Tenkuu no Hanayome,SNES,Enix Corporation
Mortal Kombat Trilogy,PS,GT Interactive
Monster Hunter Tri,3DS,Nintendo
NBA Street,PS2,Electronic Arts
Jak II,PS2,Sony Computer Entertainment
Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment
Killzone 3,PS3,Sony Computer Entertainment
Need for Speed: Hot Pursuit,PS3,Electronic Arts
Skylanders: Spyros Adventure,Wii,Activision
Battlefield 3,PC,Electronic Arts
The Sims,PS2,Electronic Arts
Star Wars: The Force Unleashed,X360,LucasArts
Saints Row: The Third,X360,THQ
Yoshis Island DS,DS,Nintendo
Missile Command,2600,Atari
Mario Paint,SNES,Nintendo
Tekken 6,PS3,Namco Bandai Games
Pok\xc3\xa9mon Stadium 2,N64,Nintendo
Sonic and the Secret Rings,Wii,Sega
Metroid,NES,Nintendo
FIFA 16,PS3,Electronic Arts
L.A. Noire,X360,Take-Two Interactive
The Legend of Zelda: A Link to the Past,GBA,Nintendo
Onimusha: Warlords,PS2,Virgin Interactive
Mario Party,N64,Nintendo
Call of Duty 3,X360,Activision
Madden NFL 12,X360,Electronic Arts
LEGO Star Wars II: The Original Trilogy,PS2,LucasArts
Killzone: Shadow Fall,PS4,Sony Computer Entertainment
Madden NFL 11,X360,Electronic Arts
Yokai Watch 2 Shinuchi,3DS,Level 5
Burnout 3: Takedown,PS2,Electronic Arts
Professor Layton and the Last Specter,DS,Nintendo
Mortal Kombat,GEN,Arena Entertainment
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo
Call Of Duty 2: Big Red One,PS2,Activision
Medal of Honor,PS,Electronic Arts
Skate 3,X360,Electronic Arts
Fable,X,Microsoft Game Studios
Guitar Hero: World Tour,X360,Activision
Hannah Montana,DS,Disney Interactive Studios
Tom Clancys Splinter Cell,PS2,Ubisoft
Super Mario Bros.: The Lost Levels,NES,Nintendo
Need for Speed: Shift,PS3,Electronic Arts
Star Wars: Shadows of the Empire,N64,Nintendo
Medal of Honor Heroes,PSP,Electronic Arts
Final Fantasy XIII-2,PS3,Square Enix
Midnight Club: Street Racing,PS2,Take-Two Interactive
Halo Wars,X360,Microsoft Game Studios
NBA 2K12,X360,Take-Two Interactive
ESPN NFL 2K5,PS2,Sega
FIFA Soccer 10,X360,Electronic Arts
Medal of Honor,X360,Electronic Arts
Pac-Man: Adventures in Time,PSP,Sony Computer Entertainment
Harry Potter and the Chamber of Secrets,PS2,Electronic Arts
Streets of Rage,GEN,Sega
God of War Collection,PS3,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,X360,LucasArts
NBA Live 2005,PS2,Electronic Arts
FIFA Soccer 09,PS3,Electronic Arts
Mario Strikers Charged,Wii,Nintendo
Style Savvy,DS,Nintendo
Super Mario All-Stars: Limited Edition,Wii,Nintendo
WWE SmackDown vs. RAW 2007,PS2,THQ
Bloodborne,PS4,Sony Computer Entertainment
Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment
