GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
Metal Gear Solid 3: Snake Eater,PS2,Konami Digital Entertainment,2004
FIFA 14,X360,Electronic Arts,2013
Assassins Creed: Revelations,PS3,Ubisoft,2011
Daxter,PSP,Sony Computer Entertainment,2006
Warcraft II: Tides of Darkness,PC,Activision,1995
FIFA Soccer 06,PS2,Electronic Arts,2005
EyeToy Play,PS2,Sony Computer Entertainment,2003
Assassins Creed: Revelations,X360,Ubisoft,2011
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,2007
FIFA 12,X360,Electronic Arts,2011
Teenage Mutant Ninja Turtles,NES,Palcom,1989
Street Fighter IV,PS3,Capcom,2009
Excitebike,NES,Nintendo,1984
Frogger,PS,Hasbro Interactive,1997
Madden NFL 2003,PS2,Electronic Arts,2002
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games,2015
Half-Life,PC,Vivendi Games,1997
Super Mario World 2: Yoshis Island,SNES,Nintendo,1995
FIFA Soccer 07,PS2,Electronic Arts,2006
Street Fighter II Turbo,SNES,Capcom,1992
Watch Dogs,PS4,Ubisoft,2014
World of Warcraft: The Burning Crusade,PC,Activision,2007
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,2015
God of War II,PS2,Sony Computer Entertainment,2007
Far Cry 4,PS4,Ubisoft,2014
Medal of Honor,X360,Electronic Arts,2010
Pac-Man: Adventures in Time,PSP,Sony Computer Entertainment,2006
Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,2002
Streets of Rage,GEN,Sega,1990
God of War Collection,PS3,Sony Computer Entertainment,2009
LEGO Star Wars: The Complete Saga,X360,LucasArts,2007
NBA Live 2005,PS2,Electronic Arts,2004
FIFA Soccer 09,PS3,Electronic Arts,2008
Mario Strikers Charged,Wii,Nintendo,2007
Style Savvy,DS,Nintendo,2008
Super Mario All-Stars: Limited Edition,Wii,Nintendo,2010
WWE SmackDown vs. RAW 2007,PS2,THQ,2006
Bloodborne,PS4,Sony Computer Entertainment,2015
Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,2004
Madden NFL 08,PS2,Electronic Arts,2007
Overwatch,PS4,Activision,2016
Monster Hunter Freedom 2,PSP,Capcom,2007
Madden NFL 13,PS3,Electronic Arts,2012
Ghostbusters: The Video Game (DS Version),X360,Take-Two Interactive,2009
Ratchet & Clank Future: Tools of Destruction,PS3,Sony Computer Entertainment,2007
Sonic Adventure 2 Battle,GC,Sega,2001
Dragon Warrior II,NES,Enix Corporation,1987
Dragon Age: Origins,X360,Electronic Arts,2009
LittleBigPlanet,PSP,Sony Computer Entertainment,2009
Pok\xc3\xa9mon Colosseum,GC,Nintendo,2003
Madden NFL 09,X360,Electronic Arts,2008
Space Invaders,2600,Atari,1978
Skylanders Giants,Wii,Activision,2012
NBA 2K14,X360,Take-Two Interactive,2013
Art Academy,DS,Nintendo,2010
Crazy Taxi,PS2,Acclaim Entertainment,2001
Perfect Dark,N64,Nintendo,2000
Dragon Warrior,NES,Capcom,1986
Need for Speed (2015),PS4,Electronic Arts,2015
Deca Sports,Wii,Konami Digital Entertainment,2008
PES 2009: Pro Evolution Soccer,PS2,Konami Digital Entertainment,2008
Mario Party 2,N64,Nintendo,1999
Marvel: Ultimate Alliance,X360,Activision,2006
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,X,Take-Two Interactive,2003
Mortal Kombat: Deadly Alliance,PS2,Midway Games,2002
Game Party,Wii,Midway Games,2007
Tomb Raider: The Last Revelation,PS,Eidos Interactive,1998
Mario Party 4,GC,Nintendo,2002
Pure,X360,Disney Interactive Studios,2008
Rock Band,X360,Electronic Arts,2007
NBA 2K13,PS3,Take-Two Interactive,2012
Saints Row: The Third,PS3,THQ,2011
Resistance 2,PS3,Sony Computer Entertainment,2008
NBA 2K15,PS4,Take-Two Interactive,2014
Midnight Club: Los Angeles,PS3,Take-Two Interactive,2008
Final Fantasy Tactics,PS,SquareSoft,1997
Final Fantasy V,SNES,SquareSoft,1992
Twisted Metal 2,PS,Sony Computer Entertainment,1996
LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive Entertainment,2010
The Sims: Bustin Out,PS2,Electronic Arts,2003
Madden NFL 16,XOne,Electronic Arts,2015
Riven: The Sequel to Myst,PC,Red Or,1997
uDraw Studio,Wii,THQ,2010
Sonic Adventure,DC,Sega,1998
Ice Hockey,NES,Nintendo,1988
Tom Clancys Rainbow Six: Vegas 2,X360,Ubisoft,2008
Tomb Raider (2013),PS3,Square Enix,2013
Need for Speed Carbon: Own the City,PSP,Electronic Arts,2006
Dragon Ball Z: Budokai 2,PS2,Atari,2003
pro evolution soccer 2011,PS3,Konami Digital Entertainment,2010
ATV Offroad Fury,PS2,Sony Computer Entertainment,2001
Dino Crisis,PS,Capcom,1998
Need for Speed: ProStreet,PS2,Electronic Arts,2007
Halo: Combat Evolved Anniversary,X360,Microsoft Game Studios,2011
Tetris Plus,PS,JVC,1996
Pro Wrestling,NES,Nintendo,1987
Theme Hospital,PC,Electronic Arts,1997
Froggers Adventures: Temple of the Frog,GBA,Konami Digital Entertainment,2001
Madden NFL 11,PS3,Electronic Arts,2010
Monopoly,PC,Hasbro Interactive,1994
NBA 2K17,PS4,Take-Two Interactive,2016
Guitar Hero,PS2,RedOctane,2005
WCW/nWo Revenge,N64,THQ,1998
The Legend of Zelda: Majoras Mask 3D,3DS,Nintendo,2015
Far Cry: Primal,PS4,Ubisoft,2016
Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami Digital Entertainment,2001
Dead Island,X360,Deep Silver,2011
Half-Life 2,PC,Vivendi Games,2004
The Incredibles,PS2,THQ,2004
Zumba Fitness,X360,505 Games,2010
Madden NFL 08,X360,Electronic Arts,2007
Tony Hawks Underground 2,PS2,Activision,2004
NBA 2K16,XOne,Take-Two Interactive,2015
Madden NFL 10,PS3,Electronic Arts,2009
Kirbys Dream Land 2,G,Nintendo,1995
Midnight Club: Los Angeles,X360,Take-Two Interactive,2008
Donkey Kong Land II,G,Nintendo,1996
Dragon Warrior Monsters,G,Eidos Interactive,1998
Kinect: Disneyland Adventures,X360,Microsoft Game Studios,2011
Guild Wars 2,PC,NCSoft,2012
WWE SmackDown vs Raw 2008,PS2,THQ,2007
LEGO Indiana Jones: The Original Adventures,Wii,LucasArts,2008
Resident Evil - Code: Veronica X,PS2,Capcom,2001
Kinect Sports: Season Two,X360,Microsoft Game Studios,2011
Paper Mario: Sticker Star,3DS,Nintendo,2012
Madden NFL 17,PS4,Electronic Arts,2016
My Fitness Coach,Wii,Ubisoft,2008
Mario Tennis,N64,Nintendo,2000
